model_class_index,karsl_class_id,english,arabic
181,182,think,????
182,183,help,?????
183,184,smoke,????
184,185,support,????
185,186,choose,?????
186,187,call,?????
187,188,grow,??????
188,189,dye,????
189,190,stand,???
190,191,bathe,?????
191,192,enter,????
192,193,family,????
193,194,grandmother,???
194,195,grandfather,grandfather
195,196,father,father
196,197,mother,mother
197,198,sister,???
198,199,brother,brother
199,200,girl,???
200,201,baby,????
201,202,twin,????
202,203,man,???
203,204,young man,???
204,205,young woman,????
205,206,grandchild,????
206,207,wedding,????
207,208,pregnant,???
208,209,childbirth,?????
209,210,uncle,uncle
210,211,aunt,???
211,212,maternal uncle,???
212,213,maternal aunt,????
213,214,nephew,??? ????
214,215,nephew,??? ?????
215,216,cousin,??? ????
216,217,son,???
217,218,daughter,????
218,219,people,???
219,220,divorce,????
220,221,engagement,?????
221,222,party,????
222,223,death,????
223,224,child,???
224,225,beautiful,????
225,226,ugly,????
226,227,long,????
227,228,short,????
228,229,thin,????
229,230,fat,????
230,231,rich,???
231,232,poor,????
232,233,offended,????
233,234,disgusted,?????
234,235,confused,?????
235,236,worried,???
236,237,deranged,????
237,238,afraid,????
238,239,happy,???? (?????)
239,240,sad,????
240,241,courageous,????
241,242,coward,????
242,243,ambitious,????
243,244,admirable,????
244,245,to be jealous of,???? ??
245,246,to protect jealously,???? ???
246,247,affectionate,????
247,248,generous,????
248,249,miserly,????
249,250,greedy,????
250,251,liar,????
251,252,selfish,?????
252,253,proud,?????
253,254,humble,??????
254,255,feeling,????
255,256,tired,???
256,257,crying,????
257,258,contempt,??????
258,259,self-dependence,?????? ??? ?????
259,260,light,????
260,261,heavy,????
261,262,old,????
262,263,envy,???
263,264,believe,???
264,265,betrayal,???
265,266,patient,???
266,267,blame,???
267,268,truth,????
268,269,treason,?????
269,270,preference,?????
270,271,self sacrifice,?????
271,272,pity,????
272,273,intelligent,???
273,274,in front of,????
274,275,side,?????
275,276,far,????
276,277,between,???
277,278,under,???
278,279,around,???
279,280,outside,????
280,281,back,???
281,282,inside,????
282,283,up,???
283,284,near,????
284,285,through,?? ????
285,286,here,???
286,287,there,????
287,288,left,????
288,289,right,????
289,290,welcome,???? ??????
290,291,greeting,?????? ?????
291,292,here you are,????
292,293,neighbor,???
293,294,thanks,?????
294,295,friend,????
295,296,guest,???
296,297,enemy,???
297,298,fault,???
298,299,gift,????
299,300,house,???
300,301,wall,????
301,302,roof,???
302,303,door,???
303,304,window,????
304,305,room,????
305,306,bedroom,???? ???
306,307,bed,????
307,308,mattress,????? ???? ( ????)
308,309,bedsheet,???? ( ???? ????)
309,310,pillow,????? ( ????)
310,311,clothes rail,????? ( ????)
311,312,wardrobe,????? ?????
312,313,kitchen,????
313,314,Oven,??? ????
314,315,cooker,??????? (????)
315,316,dish,??? ( ???)
316,317,knife,????
317,318,fork,????
318,319,spoon,?????
319,320,cupful,?????
320,321,freezer,???? (?????)
321,322,cup,??? ( ???)
322,323,thermos,???? ????? ( ????)
323,324,food room,???? ????
324,325,pitcher,?????
325,326,table,?????
326,327,dalah,???? ( ???)
327,328,bathroom,???? ???? (????)
328,329,chair,????
329,330,washing machine,?????
330,331,towel carpet,?????
331,332,carpet,????? (?????)
332,333,moquette,????? ( ??? ????) moquette
333,334,chandelier,???? (????)
334,335,cassette,????
335,336,cassette tape,???? ????
336,337,television,??????? (?????)
337,338,satellite,??? ????? (??)
338,339,video tape,???? ?????
339,340,video camera,?????? ?????
340,341,photo camera,?????? ??????????
341,342,telephone,???? ( ?????)
342,343,guests room,???? ????
343,344,video,?????
344,345,censer,?????
345,346,heater,?????
346,347,key,?????
347,348,fan,?????
348,349,central heater,????? ??????
349,350,electrics,??????
350,351,air conditioner,????
351,352,wire,??? ???????
352,353,plug,???? ??????? ( ???)
353,354,bag,????? ???
354,355,iron,?????
355,356,thermometer,????? ????? ???
356,357,God,???? ?????
357,358,Muhammad is the Messenger of Allah,???? ???? ????
358,359,Essa Christ,???? ??????
359,360,The Holy Quran,?????? ??????
360,361,Rightly Guided Caliphs,??????? ????????
361,362,Sunnah,????? ???????
362,363,Pillars of Islam,????? ???????
363,364,Pillars of Faith,????? ???????
364,365,The two certificates,?????????
365,366,pray,???? / ??????
366,367,zakat,??????
367,368,Fasting,?????
368,369,Umrah,??????
369,370,Pilgrimage,????
370,371,Angels,??????
371,372,messenger,????
372,373,Doomsday,??? ???????
373,374,Fate and destiny,?????? ??????
374,375,Pillars of prayer,????? ??????
375,376,Good,???
376,377,Intention,?????
377,378,Evil,Evil
378,379,purity,?????
379,380,Prayer invalidators,?????? ??????
380,381,tayammum,????
381,382,ablution,????? / ????
382,383,authorized,????
383,384,Wipe on the slippers,??? ??? ??????
384,385,Al-fajr prayer,???? ?????
385,386,Salat Aduher,???? ?????
386,387,Asr prayer,???? ?????
387,388,Maghreb's prayer,???? ??????
388,389,eshaa pray,???? ??????
389,390,speech,????
390,391,Friday sermon,???? ??????
391,392,Fiance,????
392,393,Eid sermon,???? ?????
393,394,Mosque,????
394,395,surah,????
395,396,Before,????
396,397,Al-Fatihah,???? ???????
397,398,any,???
398,399,Night of Power,???? ?????
399,400,Feast,???
400,401,Eid al-Fitr,??? ?????
401,402,Eid al-Adha,??? ??????
402,403,Ihram,?????
403,404,Mecca,???
404,405,Kaaba,??????
405,406,Medina,??????? ???????
406,407,Mona,???
407,408,Arafat Mountain,??? ?????
408,409,Safa and Marwa,????? ???????
409,410,Muzdalifah,??????
410,411,Throwing pebbles,??? ???????
411,412,circumambulation,????
412,413,Zamzam water,??? ????
413,414,the sacrifice,???????
414,415,break the ihram,?? ???????
415,416,farewell circumambulation,???? ??????
416,417,Al-Aqsa Mosque,?????? ??????
417,418,swim,????
418,419,Thank God,????? ???
419,420,How great is our God,????? ????
420,421,Faith,?????
421,422,Polytheism,????? ?????
422,423,I seek refuge in God,???? ?????
423,424,Satan,?????
424,425,genie,genie
425,426,the lost,???????
426,427,angered them,??????? ?????
427,428,fetish,???
428,429,fornication,???
429,430,the Paradise,?????
430,431,fire,?????
431,432,spirit,???
432,433,rights,????
433,434,Duties,??????
434,435,Deeds,?????
435,436,sins,?????
436,437,halal,????
437,438,forbidden,????
438,439,forgiveness,?????
439,440,religion,???
440,441,Christian,?????
441,442,Jewish,?????
442,443,church,?????
443,444,Isra and Miraj,????? ??????
444,445,Eve,????
445,446,Adam,???
446,447,charity,????
447,448,Prophet,???
448,449,guidance,?????
449,450,honesty,?????
450,451,martyr,????
451,452,Parental rights,???? ????????
452,453,Disobedience to parents,???? ????????
453,454,Muslim,????
454,455,Mercy,????
455,456,New Year's Holiday,??? ??? ?????
456,457,homework,????
457,458,Dome of the Rock,??? ??????
458,459,Create,???
459,460,engineer,?????
460,461,photographer,???? ?????????
461,462,Meat man,???? / ????
462,463,driver,????
463,464,jeweler,????
464,465,servant,????
465,466,chairman,???? ???
466,467,blacksmith,????
467,468,weld,???? ???????
468,469,Sign language translator,????? ??? ???????
469,470,announcer,????
470,471,translator,????? ????
471,472,manager,????
472,473,ambassador,????
473,474,minister,????
474,475,King,??? / ?????
475,476,Premier Minister,???? ?????? / ???? ?????????
476,477,sheikh,???
477,478,governor,????? / ???
478,479,under secretary of state,??? ??? / ???? ?????
479,480,speaker,???? ???? ????? (??????)
480,481,general secretary,???? ???
481,482,journalist,????
482,483,draftsman,????
483,484,tailor,???? / ?????
484,485,policeman,????
485,486,pilot,????
486,487,soldier,????
487,488,barber,????
488,489,dyer,????
489,490,fireman,??? ????? / ???? ????
490,491,carpenter,????
491,492,teacher,???? / ????
492,493,chef,????
493,494,farmer,????
494,495,agent,????
495,496,treasurer,???? ?????
496,497,pharmacist,?????
497,498,doctor,????
498,499,nurse,?????
499,500,orderly,????
500,501,lawyer,????
501,502,traveling,??????
