SignID,Sign-Arabic,Sign-English
418,????? ???,Thank God
419,????? ????,How great is our God
420,?????,Faith
421,????? ?????,Polytheism
422,???? ?????,I seek refuge in God
423,?????,Satan
424,??,genie
425,???????,the lost
426,??????? ?????,angered them
427,???,fetish
428,???,fornication
429,?????,the Paradise
430,?????,fire
431,???,spirit
432,????,rights
433,??????,Duties
434,?????,Deeds
435,?????,sins
436,????,halal
437,????,forbidden
438,?????,forgiveness
439,???,religion
440,?????,Christian
441,?????,Jewish
442,?????,church
443,????? ??????,Isra and Miraj
444,????,Eve
445,???,Adam
446,????,charity
447,???,Prophet
448,?????,guidance
449,?????,honesty
450,????,martyr
451,???? ????????,Parental rights
452,???? ????????,Disobedience to parents
453,????,Muslim
454,????,Mercy
455,??? ??? ?????,New Year's Holiday
456,????,homework
457,??? ??????,Dome of the Rock
458,???,Create
459,?????,engineer
460,???? ?????????,photographer
461,???? / ????,Meat man
462,????,driver
463,????,jeweler
464,????,servant
465,???? ???,chairman
466,????,blacksmith
467,???? ???????,weld
468,????? ??? ???????,Sign language translator
469,????,announcer
470,????? ????,translator
471,????,manager
472,????,ambassador
473,????,minister
474,??? / ?????,King
475,???? ?????? / ???? ?????????,Premier Minister
476,???,sheikh
477,????? / ???,governor
478,??? ??? / ???? ?????,under secretary of state
479,???? ???? ????? (??????),speaker
480,???? ???,general secretary
481,????,journalist
482,????,draftsman
483,???? / ?????,tailor
484,????,policeman
485,????,pilot
486,????,soldier
487,????,barber
488,????,dyer
489,??? ????? / ???? ????,fireman
490,????,carpenter
491,???? / ????,teacher
492,????,chef
493,????,farmer
494,????,agent
495,???? ?????,treasurer
496,?????,pharmacist
497,????,doctor
498,?????,nurse
499,????,orderly
500,????,lawyer
501,??????,traveling
502,?????,appointment
